file	short_name	code	name	land	opened_on	duration	average_wait_per_hundred
7_dwarfs_train.csv	7 Dwarfs Train	MK141	Seven Dwarfs Mine Train	Fantasyland	05/28/2014	3	5
alien_saucers.csv	Alien Saucers	HS104	Alien Swirling Saucers	Toy Story Land	06/30/2018	2.5	10
ariel_s_grotto.csv	Ariel's Grotto	NA	NA	NA	NA	NA	NA
astro_orbiter.csv	Astro Orbiter	MK39	Astro Orbiter	Tomorrowland	02/25/1995	1.5	13.5
barnstormer.csv	Barnstormer	MK34	The Barnstormer	Fantasyland	10/01/1996	2	7
big_thunder_mtn.csv	Big Thunder Mtn	DL05	Big Thunder Mountain Railroad	Frontierland	09/15/1979	3.5	3
big_thunder_mtn.csv	Big Thunder Mtn	MK03	Big Thunder Mountain Railroad	Frontierland	09/23/1980	7	2.5
buzz_lightyear.csv	Buzz Lightyear	DL07	Buzz Lightyear Astro Blasters	Tomorrowland	05/04/2005	4.5	3
buzz_lightyear.csv	Buzz Lightyear	MK02	Buzz Lightyear's Space Ranger Spin	Tomorrowland	10/07/1998	4.5	3
carousel_of_progress.csv	Carousel of Progress	NA	NA	NA	NA	NA	NA
casey_jr_splash.csv	Casey Jr Splash	NA	NA	NA	NA	NA	NA
country_bears.csv	Country Bears	NA	NA	NA	NA	NA	NA
dinosaur.csv	DINOSAUR	AK18	DINOSAUR	DinoLand U.S.A.	04/22/1998	3.5	3
dumbo.csv	Dumbo	DL16	Dumbo the Flying Elephant	Fantasyland	08/16/1955	1.67	12
dumbo.csv	Dumbo	MK27	Dumbo the Flying Elephant	Fantasyland	10/01/1971	1.5	10
ench_tales_w__belle.csv	Ench Tales W  Belle	NA	NA	NA	NA	NA	NA
enchanted_tiki_rm.csv	Enchanted Tiki Rm	DL17	Walt Disney's Enchanted Tiki Room	Adventureland	07/23/1963	14.5	NA
expedition_everest.csv	Expedition Everest	AK11	Expedition Everest - Legend of the Forbidden Mountain	Asia	04/07/2006	4	4
flight_of_passage.csv	Flight of Passage	AK86	Avatar Flight of Passage	Pandora - The World of Avatar	05/27/2017	6	4
hall_of_presidents.csv	Hall of Presidents	NA	NA	NA	NA	NA	NA
haunted_mansion.csv	Haunted Mansion	DL53	Haunted Mansion	New Orleans Square	08/09/1969	9	2.5
haunted_mansion.csv	Haunted Mansion	MK23	The Haunted Mansion	Liberty Square	10/01/1971	10	2.5
it_s_a_small_world.csv	it's a small world	DL27	"""it's a small world"""	Fantasyland	05/28/1966	14	2.5
it_s_a_small_world.csv	it's a small world	MK28	"""it's a small world"""	Fantasyland	10/01/1971	14	3.5
jungle_cruise.csv	Jungle Cruise	DL28	Jungle Cruise	Adventureland	07/17/1955	7.5	3.5
jungle_cruise.csv	Jungle Cruise	MK13	Jungle Cruise	Adventureland	10/01/1971	8	3.5
kilimanjaro_safaris.csv	Kilimanjaro Safaris	AK07	Kilimanjaro Safaris	Africa	04/22/1998	20	4
laugh_floor.csv	Laugh Floor	MK40	Monsters, Inc. Laugh Floor	Tomorrowland	04/02/2007	15	NA
liberty_sq_riverboat.csv	Liberty Sq Riverboat	NA	NA	NA	NA	NA	NA
mad_tea_party.csv	Mad Tea Party	MK29	Mad Tea Party	Fantasyland	10/01/1971	1.5	7.5
magic_carpets.csv	Magic Carpets	MK15	The Magic Carpets of Aladdin	Adventureland	05/23/2001	1.5	16
main_st_vehicles.csv	Main St Vehicles	NA	NA	NA	NA	NA	NA
navi_river.csv	Navi River	NA	NA	NA	NA	NA	NA
peoplemover.csv	PeopleMover	MK44	Tomorrowland Transit Authority PeopleMover	Tomorrowland	07/01/1975	10	1.5
pete_s__goofy_donald.csv	Pete's  Goofy Donald	NA	NA	NA	NA	NA	NA
pete_s__minnie_daisy.csv	Pete's  Minnie Daisy	NA	NA	NA	NA	NA	NA
peter_pan_s_flight.csv	Peter Pan's Flight	DL38	Peter Pan's Flight	Fantasyland	07/17/1955	3	11
peter_pan_s_flight.csv	Peter Pan's Flight	MK05	Peter Pan's Flight	Fantasyland	10/01/1971	3	5.5
philharmagic.csv	PhilharMagic	MK30	Mickey's PhilharMagic	Fantasyland	10/08/2003	12	NA
pirate_s_adventure.csv	Pirate's Adventure	NA	NA	NA	NA	NA	NA
pirates_of_caribbean.csv	Pirates of Caribbean	DL40	Pirates of the Caribbean	New Orleans Square	03/18/1967	15	3
pirates_of_caribbean.csv	Pirates of Caribbean	MK16	Pirates of the Caribbean	Adventureland	12/17/1973	7.5	1.5
princess_hall__cinderella_elena.csv	Princess Hall: Cinderella	MK177	See Cinderella and a Visiting Princess at Princess Fairytale Hall	Fantasyland	11/24/2016	10	NA
princess_hall__rapunzel_tiana.csv	Princess Hall: Tiana	MK178	See Princess Tiana and a Visiting Princess at Princess Fairytale Hall	Fantasyland	11/24/2016	10	NA
regal_carrousel.csv	Regal Carrousel	MK26	Prince Charming Regal Carrousel	Fantasyland	10/01/1971	2	5
rock_n_rollercoaster.csv	Rock Coaster	HS12	Rock 'n' Roller Coaster Starring Aerosmith	Sunset Boulevard	07/29/1999	1.5	2.5
slinky_dog.csv	Slinky Dog	HS103	Slinky Dog Dash	Toy Story Land	06/30/2018	3	5
soarin.csv	Soarin'	CA09	Soarin' Around the World	Grizzly Peak	02/08/2001	4.5	NA
soarin.csv	Soarin'	EP09	Soarin' Around the World	World Nature	05/05/2005	8	3
sorcerers_of_the_mk.csv	Sorcerers of The Mk	NA	NA	NA	NA	NA	NA
space_mountain.csv	Space Mountain	MK01	Space Mountain	Tomorrowland	01/15/1975	10	3
space_mountain.csv	Space Mountain	DL46	Space Mountain	Tomorrowland	05/27/1977	5	3.5
spaceship_earth.csv	Spaceship Earth	EP02	Spaceship Earth	World Celebration	10/01/1982	16	3
splash_mountain.csv	Splash Mountain	DL48	Splash Mountain	Critter Country	07/17/1989	11	3.5
splash_mountain.csv	Splash Mountain	MK04	Splash Mountain	Frontierland	07/17/1992	18	3.5
swiss_family_tree.csv	Swiss Family Tree	NA	NA	NA	NA	NA	NA
tom_land_speedway.csv	Tom'land Speedway	MK43	Tomorrowland Speedway	Tomorrowland	10/01/1971	4.25	4.5
tom_sawyer_island.csv	Tom Sawyer Island	NA	NA	NA	NA	NA	NA
town_sq_mickey.csv	Town Sq Mickey	MK96	See Mickey at Town Square Theater	Main Street, U.S.A.	04/01/2011	3	NA
town_sq_tink.csv	Town Sq Tink	NA	NA	NA	NA	NA	NA
toy_story_mania.csv	Toy Story Mania!	HS20	Toy Story Mania!	Toy Story Land	05/31/2008	6.5	4.5
toy_story_mania.csv	Toy Story Mania!	CA30	Toy Story Midway Mania!	Pixar Pier	06/17/2008	8	4.5
under_the_sea.csv	Under the Sea	MK142	Under the Sea ~ Journey of the Little Mermaid	Fantasyland	12/06/2012	7	3
winnie_the_pooh.csv	Winnie the Pooh	MK06	The Many Adventures of Winnie the Pooh	Fantasyland	06/05/1999	4	4
